                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.59287,                0.52738,                0.83057,                0.89311,                0.97648,                0.53111,                0.86693,                0.78623,                0.97648,                0.53111,                0.86693,                0.80826,                0.51514,                0.67934,                 1.5692,                0.83181,              0.0012682,              0.0012682,              0.0012682
                     46,                0.62864,                 0.6711,                0.80626,                0.88672,                0.97301,                0.71627,                0.97268,                0.85141,                0.97301,                0.71627,                0.97268,                0.88254,                0.52725,                0.72328,                 1.3227,                0.83032,              0.0012917,              0.0012917,              0.0012917
                     47,                0.57387,                0.65142,                0.76767,                0.86903,                0.97301,                0.71627,                0.97268,                0.85141,                0.97301,                0.71627,                0.97268,                0.88254,                0.52725,                0.72328,                 1.3227,                0.83032,               0.001315,               0.001315,               0.001315
                     48,                0.56094,                0.56496,                0.75474,                0.86414,                0.98086,                0.94997,                  0.995,                0.85794,                0.98086,                0.94997,                  0.995,                0.88638,                0.52971,                0.72781,                 1.0075,                0.82722,               0.001338,               0.001338,               0.001338
                     49,                0.58484,                0.57842,                0.87716,                0.90343,                0.98086,                0.94997,                  0.995,                0.85794,                0.98086,                0.94997,                  0.995,                0.88638,                0.52971,                0.72781,                 1.0075,                0.82722,              0.0013609,              0.0013609,              0.0013609
                     50,                0.54692,                 0.5596,                0.76189,                0.84715,                0.98203,                0.92082,                  0.995,                0.86109,                0.98203,                0.92082,                  0.995,                0.87591,                0.54119,                0.71181,                0.93584,                0.82275,              0.0013835,              0.0013835,              0.0013835
                     51,                0.49903,                0.50296,                0.70525,                0.86013,                0.98203,                0.92082,                  0.995,                0.86109,                0.98203,                0.92082,                  0.995,                0.87591,                0.54119,                0.71181,                0.93584,                0.82275,              0.0013919,              0.0013919,              0.0013919
                     52,                0.51247,                 0.5037,                0.69916,                0.88318,                0.98275,                0.94218,                  0.995,                0.87945,                0.98275,                0.94218,                  0.995,                0.87535,                0.50437,                0.72069,                 0.8822,                0.81592,              0.0013864,              0.0013864,              0.0013864
                     53,                0.50801,                0.46068,                0.73756,                0.84018,                0.98275,                0.94218,                  0.995,                0.87945,                0.98275,                0.94218,                  0.995,                0.87535,                0.50437,                0.72069,                 0.8822,                0.81592,              0.0013809,              0.0013809,              0.0013809
                     54,                0.49129,                0.48731,                0.72402,                0.85289,                0.97916,                      1,                  0.995,                0.87993,                0.97916,                      1,                  0.995,                0.88803,                0.52292,                0.79013,                 0.7826,                0.82229,              0.0013754,              0.0013754,              0.0013754
                     55,                0.59753,                0.64749,                0.73241,                0.87861,                0.97916,                      1,                  0.995,                0.87993,                0.97916,                      1,                  0.995,                0.88803,                0.52292,                0.79013,                 0.7826,                0.82229,              0.0013699,              0.0013699,              0.0013699
                     56,                0.58257,                0.54466,                0.71744,                0.87177,                0.98489,                      1,                  0.995,                0.87092,                0.98489,                      1,                  0.995,                0.89959,                0.52696,                0.71118,                0.71282,                 0.8282,              0.0013644,              0.0013644,              0.0013644
                     57,                0.56005,                0.59059,                0.78648,                0.88334,                0.98489,                      1,                  0.995,                0.87092,                0.98489,                      1,                  0.995,                0.89959,                0.52696,                0.71118,                0.71282,                 0.8282,              0.0013589,              0.0013589,              0.0013589
                     58,                0.55632,                0.80497,                0.82781,                0.85999,                0.99164,                      1,                  0.995,                0.85526,                0.99164,                      1,                  0.995,                0.91007,                0.50012,                0.60858,                0.70792,                0.81807,              0.0013534,              0.0013534,              0.0013534
                     59,                0.53158,                0.57075,                0.80259,                0.86856,                0.99164,                      1,                  0.995,                0.85526,                0.99164,                      1,                  0.995,                0.91007,                0.50012,                0.60858,                0.70792,                0.81807,              0.0013479,              0.0013479,              0.0013479
                     60,                0.57564,                0.57816,                0.75052,                0.86834,                0.98652,                      1,                  0.995,                0.86634,                0.98652,                      1,                  0.995,                0.88971,                0.48984,                0.70262,                0.68323,                0.80839,              0.0013424,              0.0013424,              0.0013424
                     61,                 0.5778,                 0.6434,                0.73365,                0.87646,                0.98652,                      1,                  0.995,                0.86634,                0.98652,                      1,                  0.995,                0.88971,                0.48984,                0.70262,                0.68323,                0.80839,              0.0013369,              0.0013369,              0.0013369
                     62,                0.50536,                0.49077,                0.69649,                 0.8614,                0.98121,                      1,                  0.995,                0.87671,                0.98121,                      1,                  0.995,                0.89148,                0.49843,                0.77509,                0.64663,                0.80576,              0.0013314,              0.0013314,              0.0013314
                     63,                0.52547,                0.53605,                0.73907,                0.84968,                0.98121,                      1,                  0.995,                0.87671,                0.98121,                      1,                  0.995,                0.89148,                0.49843,                0.77509,                0.64663,                0.80576,              0.0013259,              0.0013259,              0.0013259
                     64,                0.53364,                0.59041,                0.74744,                0.84677,                0.98627,                      1,                  0.995,                0.87591,                0.98627,                      1,                  0.995,                0.89514,                 0.4941,                0.73332,                0.60281,                0.80376,              0.0013204,              0.0013204,              0.0013204
                     65,                 0.5385,                0.58433,                0.69284,                0.87133,                0.98627,                      1,                  0.995,                0.87591,                0.98627,                      1,                  0.995,                0.89514,                 0.4941,                0.73332,                0.60281,                0.80376,              0.0013149,              0.0013149,              0.0013149
                     66,                0.56758,                0.58768,                0.75368,                0.86625,                0.98338,                      1,                  0.995,                0.89459,                0.98338,                      1,                  0.995,                 0.9012,                0.47017,                0.73212,                 0.5877,                0.79845,              0.0013094,              0.0013094,              0.0013094
                     67,                0.54696,                0.59571,                0.65269,                0.85091,                0.98338,                      1,                  0.995,                0.89459,                0.98338,                      1,                  0.995,                 0.9012,                0.47017,                0.73212,                 0.5877,                0.79845,              0.0013039,              0.0013039,              0.0013039
                     68,                0.54262,                0.55418,                0.67978,                0.89591,                0.98647,                      1,                  0.995,                0.89028,                0.98647,                      1,                  0.995,                0.90887,                0.46343,                0.70655,                0.58665,                0.79938,              0.0012984,              0.0012984,              0.0012984
                     69,                0.56146,                0.61233,                0.65772,                0.84069,                0.98647,                      1,                  0.995,                0.89028,                0.98647,                      1,                  0.995,                0.90887,                0.46343,                0.70655,                0.58665,                0.79938,              0.0012929,              0.0012929,              0.0012929
                     70,                0.50385,                0.50995,                0.70572,                0.89253,                0.98449,                      1,                  0.995,                0.88382,                0.98449,                      1,                  0.995,                0.88687,                0.47303,                0.69846,                0.57655,                0.80042,              0.0012874,              0.0012874,              0.0012874
                     71,                0.51594,                0.49149,                0.64756,                  0.875,                0.98449,                      1,                  0.995,                0.88382,                0.98449,                      1,                  0.995,                0.88687,                0.47303,                0.69846,                0.57655,                0.80042,              0.0012819,              0.0012819,              0.0012819
                     72,                0.52649,                0.60111,                0.64405,                0.88214,                0.98638,                      1,                  0.995,                0.90468,                0.98638,                      1,                  0.995,                0.91002,                0.45881,                0.59825,                 0.5487,                  0.801,              0.0012764,              0.0012764,              0.0012764
                     73,                 0.4865,                0.55217,                0.62803,                0.86592,                0.98638,                      1,                  0.995,                0.90468,                0.98638,                      1,                  0.995,                0.91002,                0.45881,                0.59825,                 0.5487,                  0.801,              0.0012709,              0.0012709,              0.0012709
                     74,                0.52956,                0.55357,                0.67976,                0.87771,                0.98745,                      1,                  0.995,                0.89495,                0.98745,                      1,                  0.995,                0.91581,                0.46889,                0.53394,                0.54948,                0.80457,              0.0012654,              0.0012654,              0.0012654
                     75,                0.53612,                0.54691,                0.60978,                0.85446,                0.98745,                      1,                  0.995,                0.89495,                0.98745,                      1,                  0.995,                0.91581,                0.46889,                0.53394,                0.54948,                0.80457,              0.0012599,              0.0012599,              0.0012599
                     76,                0.49929,                0.56771,                0.68711,                0.85994,                0.99193,                      1,                  0.995,                0.89306,                0.99193,                      1,                  0.995,                0.90867,                0.47779,                0.55687,                0.53096,                0.80617,              0.0012544,              0.0012544,              0.0012544
                     77,                0.54468,                0.49353,                 0.6677,                0.87064,                0.99193,                      1,                  0.995,                0.89306,                0.99193,                      1,                  0.995,                0.90867,                0.47779,                0.55687,                0.53096,                0.80617,              0.0012489,              0.0012489,              0.0012489
                     78,                0.51688,                0.51738,                0.63182,                0.88382,                0.99418,                      1,                  0.995,                0.91098,                0.99418,                      1,                  0.995,                0.91376,                0.43647,                0.56761,                0.55072,                0.79643,              0.0012434,              0.0012434,              0.0012434
                     79,                0.53945,                0.61779,                0.67956,                0.88994,                0.99418,                      1,                  0.995,                0.91098,                0.99418,                      1,                  0.995,                0.91376,                0.43647,                0.56761,                0.55072,                0.79643,              0.0012379,              0.0012379,              0.0012379
