                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.6519,                 1.0124,                 1.1635,                0.82959,                0.76069,                0.78129,                0.32028,                 1.7725,                 1.0642,                  1.092,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.7448,                 1.0201,                 1.1658,                0.83066,                   0.75,                0.78533,                0.33307,                 1.7571,                 1.0139,                 1.1034,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.7035,                0.99027,                 1.1674,                0.79694,                 0.8125,                0.81593,                0.35526,                 1.7414,                 1.0205,                 1.0903,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.6989,                0.98414,                 1.1969,                0.82458,                0.76562,                0.85854,                  0.358,                  1.883,                  1.028,                  1.139,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.7419,                 1.0004,                 1.1562,                0.82944,                0.83589,                 0.8796,                0.37837,                 1.7477,                 1.0107,                 1.0826,               0.001505,               0.001505,               0.001505
                     77,                 1.6356,                0.95383,                 1.1401,                0.85052,                0.82812,                 0.8815,                0.40565,                 1.6732,                0.95114,                 1.0852,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.6335,                0.96591,                 1.1321,                0.83569,                0.82812,                0.87867,                0.37173,                 1.7073,                 0.9527,                 1.0803,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.6471,                0.96462,                 1.1265,                0.85325,                 0.8125,                0.87771,                0.39708,                 1.6844,                0.93973,                 1.0574,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.6692,                 0.9513,                 1.1656,                0.82563,                0.79688,                0.83459,                0.39838,                 1.6846,                0.97007,                 1.0703,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.6026,                0.92374,                 1.1215,                0.82352,                0.85938,                0.88382,                0.39666,                 1.7025,                0.96797,                  1.072,               0.001472,               0.001472,               0.001472
                     82,                 1.6385,                0.94314,                 1.1362,                0.85759,                 0.8125,                0.86463,                0.39883,                 1.6977,                0.89331,                 1.0715,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.6935,                0.94517,                 1.1698,                0.78973,                0.89062,                0.89119,                0.38988,                 1.7309,                0.92834,                 1.0741,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.6198,                  0.924,                 1.1346,                0.81445,                 0.8125,                0.86778,                 0.3399,                 1.7359,                0.96959,                 1.0799,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.5756,                0.93923,                 1.1145,                0.85859,                0.79688,                0.85816,                0.34835,                 1.7953,                 1.0166,                 1.0869,              0.0014456,              0.0014456,              0.0014456
